id;version;fin;marke;modell;baujahr;erstzulassung;kilometerstand;kraftstoffart;fahrzeugklasse;ausstattung;schadenfrei;beschreibung_url;anbieter_username;kontakt_email;erzeugt;aktualisiert
1;1;WVWZZZ1JZXW100001;VW;Golf;2020;2020-05-15;42500;BENZIN;KOMPAKTKLASSE;"{""navi"": true, ""sitzheizung"": true}";true;;haendler-nord;verkauf-nord@example.invalid;2026-01-10 08:00:00;2026-01-10 08:00:00
2;1;WBA8E31050K100002;BMW;320d Touring;2019;2019-09-20;78500;DIESEL;KOMBI;"{""assistenz"": {""acc"": true}, ""anhaengerkupplung"": true}";false;https://example.invalid/gebrauchtwagen/bmw-320d;haendler-sued;verkauf-sued@example.invalid;2026-01-11 08:00:00;2026-01-11 08:00:00
3;1;WME4533911K100003;Smart;EQ fortwo;2022;2022-03-10;11800;ELEKTRO;KLEINWAGEN;"{""reichweite_km"": 145, ""wallbox_kabel"": true}";true;;haendler-city;city@example.invalid;2026-01-12 08:00:00;2026-01-12 08:00:00
4;1;WAUZZZF3XMN900004;Audi;A3 Sportback;2021;2021-04-22;36500;BENZIN;KOMPAKTKLASSE;"{""virtual_cockpit"": true, ""led"": true}";true;https://example.invalid/gebrauchtwagen/audi-a3;haendler-west;verkauf-west@example.invalid;2026-01-13 08:00:00;2026-01-13 08:00:00
5;1;TMBJJ7NX0PY900005;Skoda;Karoq;2023;2023-01-18;15400;DIESEL;SUV;"{""allrad"": false, ""tempomat"": true}";true;;haendler-ost;verkauf-ost@example.invalid;2026-01-14 08:00:00;2026-01-14 08:00:00
6;1;VF1RFB003P1900006;Renault;Megane E-Tech;2023;2023-06-02;9200;ELEKTRO;KOMPAKTKLASSE;"{""akku_kwh"": 60, ""waermepumpe"": true}";true;https://example.invalid/gebrauchtwagen/megane-etech;haendler-city;city@example.invalid;2026-01-15 08:00:00;2026-01-15 08:00:00
7;1;W0VZS6EB1L1900007;Opel;Corsa;2020;2020-11-12;51200;BENZIN;KLEINWAGEN;"{""parksensoren"": true}";false;;haendler-nord;verkauf-nord@example.invalid;2026-01-16 08:00:00;2026-01-16 08:00:00
8;1;JTDKB3FU903900008;Toyota;Prius;2018;2018-07-05;91200;HYBRID;MITTELKLASSE;"{""head_up_display"": true, ""kamera"": true}";true;https://example.invalid/gebrauchtwagen/prius;haendler-sued;verkauf-sued@example.invalid;2026-01-17 08:00:00;2026-01-17 08:00:00
9;1;VF7SXYHZRKT900009;Citroen;Berlingo;2019;2019-03-27;68400;DIESEL;TRANSPORTER;"{""schiebetuer_links"": true, ""schiebetuer_rechts"": true}";false;;haendler-west;verkauf-west@example.invalid;2026-01-18 08:00:00;2026-01-18 08:00:00
10;1;WDD2050421R900010;Mercedes-Benz;C 200;2021;2021-08-14;43800;BENZIN;MITTELKLASSE;"{""avantgarde"": true, ""automatik"": true}";true;https://example.invalid/gebrauchtwagen/c200;haendler-premium;premium@example.invalid;2026-01-19 08:00:00;2026-01-19 08:00:00
11;1;WP0ZZZ98ZNS900011;Porsche;718 Boxster;2022;2022-05-06;17600;BENZIN;CABRIO;"{""sportabgasanlage"": true, ""pdk"": true}";true;https://example.invalid/gebrauchtwagen/boxster;haendler-premium;premium@example.invalid;2026-01-20 08:00:00;2026-01-20 08:00:00
12;1;WVGZZZ5NZMW900012;VW;Tiguan;2021;2021-02-24;55200;ERDGAS;SUV;"{""anhaengerkupplung"": true, ""dachreling"": true}";false;;haendler-ost;verkauf-ost@example.invalid;2026-01-21 08:00:00;2026-01-21 08:00:00
